duration_1,duration_2,duration_3,duration_4,duration_5,loudness_level,popularity_level,tempo_class,time_signature,key_mode,artist_song_count,album_freq,movement_index,intensity_level,verbal_density,purity_score,positivity_index,activity_rate,loudness_intensity,happy_dance,acoustics_instrumental,artists_avg_popularity,tempo_vs_genre,energy_rank_pct,loud_energy_ratio,mood_pca,mood_cluster,acoustic_valence_mood_cluster,explicit,signal_strength,mode_indicator,focus_factor,ambient_level,key_sin,key_cos,duration_log,duration_log_z,time_signature_class_boolean,loudness_yeo,is_instrumental,is_dance_hit,temp_zscore,resonance_factor,timbre_index,echo_constant,distorted_movement,signal_power,target_class,target_regression
0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.2218242027933286,0.4859962678042338,-0.4310417321127855,7.282469762810636,1.5915412688163246,1.0852228799343846,1.5354590231352725,-0.9386081367148168,0.3738875204507342,0.0975145025465982,1.1267872276478368,0.9648689937468804,-0.3063172938666496,0.2493507589393389,0.1833963008909195,0.5209725125811105,-0.009358888179763,0.8301792355627089,-0.7757928102365876,0.0665120962330952,1.0,0.789,1.0,2.41e-05,0.0322,-0.4999999999999997,-0.8660254037844388,1.3962983208980386,-0.4405396505695392,1.0,1.5521367322434478,0.0,0.0,0.0975140748467219,-2.438714451835438,0.7742564803943172,1,-0.0391872888016,0.789,class_69,-1.1315392809761646
0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.2218242027933286,0.7392484915358509,-0.3829536023593455,1.487702546172195,0.9807383461749816,1.1148490608376465,-0.2388325472241667,-0.6162223340925987,0.7017438260227864,-0.9393070283197524,1.0892976016719065,0.9755636794910924,-0.306316547034099,0.0980547264392294,-0.9005777909932126,0.9066918154740689,-0.0093962679949123,1.0623047851922296,-1.1097968911704768,0.0665120962330952,0.0,0.86,0.0,1.94e-06,0.0574,-0.8660254037844385,-0.5000000000000004,1.4399378084001253,-0.2899106889144656,1.0,1.630066020204694,0.0,0.0,-0.9393029085069112,-0.615927430865905,0.11844122302266902,1,-1.6122929291892103,0.86,class_69,-1.4902054888413832
0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.2218242027933286,0.4859962678042338,1.203954679504177,3.959000329738589,1.4129102254023471,0.9015007916483856,-0.2766639239908925,-0.7097503048160221,0.3816017864641943,-1.071036267924386,0.6095831915049468,0.8837276710901156,-0.3062502016690394,-1.4118796779118654,-1.0382978118686528,0.8742231444896182,-0.0094035863962034,0.9258944636757376,-1.1097968911704768,0.0665120962330952,1.0,0.855,1.0,0.000167,0.108,-0.4999999999999997,-0.8660254037844388,1.436975593235538,-0.3001352680738643,1.0,1.1247426064393995,0.0,0.0,-1.0710315703453868,-1.3453296878771988,0.4490301012536998,1,0.2431650056269449,0.855,class_69,-1.2660391089256215
0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.2218242027933286,0.1764657721322572,-0.5272179916196658,1.5303111286474778,1.176656264758054,0.9923676686469804,0.6653373575005794,-0.6162223340925987,1.4808846933822506,1.3953594063950356,0.7302254021267551,1.8741696341932383,-0.3063134393262817,-1.3741720513502995,1.5402645845578633,1.1659094082048669,-0.0094230802887494,1.6959910257971782,0.8942275944328577,0.7256143613996996,0.0,0.905,0.0,7.46e-06,0.656,1.2246467991473532e-16,-1.0,1.610324186244083,0.2982062813771121,1.0,1.3252391187996757,0.0,0.0,1.3953532863305331,0.3374102006770964,0.3081888711520926,1,0.4851812579942697,0.905,class_69,-1.1763725569593169
0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.2218242027933286,0.4859962678042338,1.203954679504177,3.1068286802329363,1.4129102254023471,0.9015007916483856,-0.2766639239908925,-0.7097503048160221,0.3816017864641943,-1.071036267924386,0.6095831915049468,0.8837276710901156,-0.3062502016690394,-1.4118796779118654,-1.0382978118686528,0.8742231444896182,-0.0094035863962034,0.9258944636757376,-1.1097968911704768,0.0665120962330952,1.0,0.855,1.0,0.000167,0.108,-0.4999999999999997,-0.8660254037844388,1.436975593235538,-0.3001352680738643,1.0,1.1247426064393995,0.0,0.0,-1.0710315703453868,0.961366982736416,0.8702345117916681,1,0.3353616731954495,0.855,class_69,-1.4005389368750785
0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.2218242027933286,0.4859962678042338,1.203954679504177,3.618131669936328,1.4129102254023471,0.9015007916483856,-0.2766639239908925,-0.7097503048160221,0.3816017864641943,-1.071036267924386,0.6095831915049468,0.8837276710901156,-0.3062502016690394,-1.4118796779118654,-1.0382978118686528,0.8742231444896182,-0.0094035863962034,0.9258944636757376,-1.1097968911704768,0.0665120962330952,1.0,0.855,1.0,0.000167,0.108,-0.4999999999999997,-0.8660254037844388,1.436975593235538,-0.3001352680738643,1.0,1.1247426064393995,0.0,0.0,-1.0710315703453868,-0.009182905109177537,0.35925311927745807,1,0.0472470870438724,0.855,class_69,-1.4005389368750785
0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.2218242027933286,0.4859962678042338,1.203954679504177,3.831174582312741,1.4129102254023471,0.9015007916483856,-0.2766639239908925,-0.7097503048160221,0.3816017864641943,-1.071036267924386,0.6095831915049468,0.8837276710901156,-0.3062502016690394,-1.4118796779118654,-1.0382978118686528,0.8742231444896182,-0.0094035863962034,0.9258944636757376,-1.1097968911704768,0.0665120962330952,1.0,0.855,1.0,0.000167,0.108,-0.4999999999999997,-0.8660254037844388,1.436975593235538,-0.3001352680738643,1.0,1.1247426064393995,0.0,0.0,-1.0710315703453868,1.3557200613703024,0.9750907887912551,1,1.4186725171253782,0.855,class_69,-1.3557056608919262
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2218242027933286,-1.202351890406547,1.203954679504177,3.1068286802329363,0.9634514710058872,0.5163604399059829,-0.4970316936570702,-0.3575919327352223,-1.0609659580528334,0.2627681497994105,0.704038903688204,-0.7273391700659452,-0.3063176392357594,-1.4118796779118654,0.3561653521486892,-0.6511054873035351,-0.0091731629499683,-0.7196785080344946,-0.7757928102365876,-1.5812435666834157,0.0,0.531,1.0,0.0,0.119,0.4999999999999999,0.8660254037844387,1.7334621718122185,0.7232375539267446,1.0,0.4383511525037034,0.0,0.0,0.2627669972948884,-0.7743466860006741,0.20303908525474035,1,0.0126733367056831,0.531,class_69,-1.2660391089256215
0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.2218242027933286,0.4859962678042338,1.203954679504177,3.4476973400351976,1.4129102254023471,0.9015007916483856,-0.2766639239908925,-0.7097503048160221,0.3816017864641943,-1.071036267924386,0.6095831915049468,0.8837276710901156,-0.3062502016690394,-1.4118796779118654,-1.0382978118686528,0.8742231444896182,-0.0094035863962034,0.9258944636757376,-1.1097968911704768,0.0665120962330952,1.0,0.855,1.0,0.000167,0.108,-0.4999999999999997,-0.8660254037844388,1.436975593235538,-0.3001352680738643,1.0,1.1247426064393995,0.0,0.0,-1.0710315703453868,-1.4014437324199782,0.5526524709149409,1,0.6695745931312791,0.855,class_69,-1.4902054888413832
0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.2218242027933286,0.4859962678042338,1.203954679504177,4.683346231818395,1.4129102254023471,0.9015007916483856,-0.2766639239908925,-0.7097503048160221,0.3816017864641943,-1.071036267924386,0.6095831915049468,0.8837276710901156,-0.3062502016690394,-1.4118796779118654,-1.0382978118686528,0.8742231444896182,-0.0094035863962034,0.9258944636757376,-1.1097968911704768,0.0665120962330952,1.0,0.855,1.0,0.000167,0.108,-0.4999999999999997,-0.8660254037844388,1.436975593235538,-0.3001352680738643,1.0,1.1247426064393995,0.0,0.0,-1.0710315703453868,0.7231452049175311,0.6458723233249749,1,1.003787513067108,0.855,class_69,-1.4902054888413832
